,0
"(0, 0)",0.0
"(0, 1)",13.8983
"(0, 2)",13.8983
"(0, 3)",13.8983
"(0, 4)",13.8983
"(0, 5)",13.8983
"(0, 17)",23.7383
"(0, 18)",23.7383
"(0, 19)",0.0
"(0, 20)",23.7383
"(0, 21)",23.7383
"(0, 22)",0.0
"(0, 23)",23.7383
"(0, 24)",23.7383
"(0, 25)",0.0
"(0, 26)",23.7383
"(0, 27)",23.7383
"(0, 28)",22.28
"(0, 29)",22.28
"(0, 30)",22.28
"(0, 31)",22.28
"(0, 32)",22.28
"(0, 33)",0.0
"(0, 34)",16.8933
"(0, 35)",16.8933
"(0, 36)",16.8933
"(0, 37)",0.0
"(0, 38)",0.0
"(0, 39)",16.8933
"(0, 40)",16.8933
"(0, 41)",16.8933
"(0, 42)",0.0
"(0, 43)",11.2267
"(0, 44)",11.2267
"(0, 45)",4.595
"(0, 46)",4.595
"(0, 47)",4.595
"(0, 48)",4.595
"(0, 49)",4.595
"(0, 62)",9.9617
"(0, 63)",9.9617
"(0, 64)",0.0
"(0, 65)",9.9617
"(0, 66)",9.9617
"(0, 67)",0.0
"(0, 68)",9.9617
"(0, 69)",9.9617
"(0, 70)",0.0
"(0, 71)",7.37
"(0, 72)",7.37
"(0, 73)",7.37
"(0, 74)",7.37
"(0, 75)",7.37
"(0, 96)",23.7383
"(0, 97)",23.7383
"(0, 98)",23.7383
"(1, 0)",15.195
"(1, 1)",0.0
"(1, 2)",0.0
"(1, 3)",0.0
"(1, 4)",0.0
"(1, 5)",0.0
"(1, 17)",13.785
"(1, 18)",13.785
"(1, 19)",15.195
"(1, 20)",13.785
"(1, 21)",13.785
"(1, 22)",15.195
"(1, 23)",13.785
"(1, 24)",13.785
"(1, 25)",15.195
"(1, 26)",13.785
"(1, 27)",13.785
"(1, 28)",12.3267
"(1, 29)",12.3267
"(1, 30)",12.3267
"(1, 31)",12.3267
"(1, 32)",12.3267
"(1, 33)",15.195
"(1, 34)",9.4817
"(1, 35)",9.4817
"(1, 36)",9.4817
"(1, 37)",15.195
"(1, 38)",15.195
"(1, 39)",9.4817
"(1, 40)",9.4817
"(1, 41)",9.4817
"(1, 42)",15.195
"(1, 43)",17.2817
"(1, 44)",17.2817
"(1, 45)",12.0617
"(1, 46)",12.0617
"(1, 47)",12.0617
"(1, 48)",12.0617
"(1, 49)",12.0617
"(1, 62)",15.2283
"(1, 63)",15.2283
"(1, 64)",15.195
"(1, 65)",15.2283
"(1, 66)",15.2283
"(1, 67)",15.195
"(1, 68)",15.2283
"(1, 69)",15.2283
"(1, 70)",15.195
"(1, 71)",13.1783
"(1, 72)",13.1783
"(1, 73)",13.1783
"(1, 74)",13.1783
"(1, 75)",13.1783
"(1, 96)",13.785
"(1, 97)",13.785
"(1, 98)",13.785
"(2, 0)",15.195
"(2, 1)",0.0
"(2, 2)",0.0
"(2, 3)",0.0
"(2, 4)",0.0
"(2, 5)",0.0
"(2, 17)",13.785
"(2, 18)",13.785
"(2, 19)",15.195
"(2, 20)",13.785
"(2, 21)",13.785
"(2, 22)",15.195
"(2, 23)",13.785
"(2, 24)",13.785
"(2, 25)",15.195
"(2, 26)",13.785
"(2, 27)",13.785
"(2, 28)",12.3267
"(2, 29)",12.3267
"(2, 30)",12.3267
"(2, 31)",12.3267
"(2, 32)",12.3267
"(2, 33)",15.195
"(2, 34)",9.4817
"(2, 35)",9.4817
"(2, 36)",9.4817
"(2, 37)",15.195
"(2, 38)",15.195
"(2, 39)",9.4817
"(2, 40)",9.4817
"(2, 41)",9.4817
"(2, 42)",15.195
"(2, 43)",17.2817
"(2, 44)",17.2817
"(2, 45)",12.0617
"(2, 46)",12.0617
"(2, 47)",12.0617
"(2, 48)",12.0617
"(2, 49)",12.0617
"(2, 62)",15.2283
"(2, 63)",15.2283
"(2, 64)",15.195
"(2, 65)",15.2283
"(2, 66)",15.2283
"(2, 67)",15.195
"(2, 68)",15.2283
"(2, 69)",15.2283
"(2, 70)",15.195
"(2, 71)",13.1783
"(2, 72)",13.1783
"(2, 73)",13.1783
"(2, 74)",13.1783
"(2, 75)",13.1783
"(2, 96)",13.785
"(2, 97)",13.785
"(2, 98)",13.785
"(3, 0)",15.195
"(3, 1)",0.0
"(3, 2)",0.0
"(3, 3)",0.0
"(3, 4)",0.0
"(3, 5)",0.0
"(3, 17)",13.785
"(3, 18)",13.785
"(3, 19)",15.195
"(3, 20)",13.785
"(3, 21)",13.785
"(3, 22)",15.195
"(3, 23)",13.785
"(3, 24)",13.785
"(3, 25)",15.195
"(3, 26)",13.785
"(3, 27)",13.785
"(3, 28)",12.3267
"(3, 29)",12.3267
"(3, 30)",12.3267
"(3, 31)",12.3267
"(3, 32)",12.3267
"(3, 33)",15.195
"(3, 34)",9.4817
"(3, 35)",9.4817
"(3, 36)",9.4817
"(3, 37)",15.195
"(3, 38)",15.195
"(3, 39)",9.4817
"(3, 40)",9.4817
"(3, 41)",9.4817
"(3, 42)",15.195
"(3, 43)",17.2817
"(3, 44)",17.2817
"(3, 45)",12.0617
"(3, 46)",12.0617
"(3, 47)",12.0617
"(3, 48)",12.0617
"(3, 49)",12.0617
"(3, 62)",15.2283
"(3, 63)",15.2283
"(3, 64)",15.195
"(3, 65)",15.2283
"(3, 66)",15.2283
"(3, 67)",15.195
"(3, 68)",15.2283
"(3, 69)",15.2283
"(3, 70)",15.195
"(3, 71)",13.1783
"(3, 72)",13.1783
"(3, 73)",13.1783
"(3, 74)",13.1783
"(3, 75)",13.1783
"(3, 96)",13.785
"(3, 97)",13.785
"(3, 98)",13.785
"(4, 0)",15.195
"(4, 1)",0.0
"(4, 2)",0.0
"(4, 3)",0.0
"(4, 4)",0.0
"(4, 5)",0.0
